Country,State (US) -province (CA) -Area WRLD,Type and operator,Field,County,Start date ,"Area, acres",No. Well prod.,No. Well inj.,Pay zone ,Formation,EOR type,EOR short,Porosity perc.,"Permeability, md","Depth, ft M21","Gravity, API","Oil, cp",Satur. perc. start,Satur. perc. end,"Oil, gradesF",Prev. Prod. ,Proj- matur. ,"tot. Prod., b-d","enh. Prod., b-d",Proj- eval. ,Profit,proj scope
USA,Calif.,Aera Energy,South Belridge,Kem,1961,6200,1600,400,Tulare,us,STEAM,STEAM,35,2000,850,13.5,2750,75,20,95,Prim.,NC,22000,22000,Succ.,Yes,FW
USA,Calif.,Aera Energy ,South Belridge,Kem,1995,155,350,245,Diatomite Opal A,Tripol.,STEAM,STEAM,60,3,1400,29,26,45,20,110,WF,JS,12000,3000,Prom.,Yes,Exp. L.
USA,Calif.,Aera Energy,Coalinga,Fresno,1965,540,434,91,Temblor,s,STEAM,STEAM,32,1350,1237.5,12.5,6000,60,10,84-98,Prim.,HF,5119,5119,Succ.,Yes,FW
USA,Calif.,Aera Energy ,Coalinga,Fresno,1987,290,85,19,Etchegoin,s,STEAM,STEAM,34,900,825,9.5,19750,55,10,84,Prim.,HF,1374,1374,Succ.,Yes,FW
USA,Calif.,Aera Energy,Cymric,Kem,1986,600,130,70,Tulare,s,STEAM,STEAM,36,2000,1000,12.5,1500,65,20,95-105,Prim.,NC,18000,18000,Succ.,Yes,FW
USA,Calif.,Aera Energy ,Lost Hills,Kem,1975,170,450,135,Tulare,us,STEAM,STEAM,40,2000,200,13,2750,60,20,82,Prim.,HF,6400,6400,Succ.,Yes,FW
USA,Calif.,Aera Energy,McKittrick,Kem,1988,160,100,45,Tulare,s,STEAM,STEAM,36,1500,600,11,32000,60,20,83,Prim.,NC,1300,1300,Succ.,Yes,FW
USA,Calif.,Aera Energy ,Midway-Sunset,Kem,1967,1600,1440,131,Potter,s,STEAM,STEAM,30,1250,1000,12,,67.5,15,91-110,Prim.,NC,8971,8971,Succ.,Yes,FW
USA,Calif.,Aera Energy,Midway-Sunset,Kem,1970,1230,1269,240,Monarch,s,STEAM,STEAM,29,2350,1150,13,32500,62.5,15,85-100,Prim.,NC,12462,12462,Succ.,Yes,FW
USA,Calif.,Aera Energy ,Midway-Sunset,Kem,1984,15,4,,Sub Lakeview,s,STEAM,STEAM,30,4500,1300,13,4000,60,15,90,Prim.,NC,25,25,Succ.,Yes,LW
USA,Calif.,Aera Energy,Midway-Sunset,Kem,1969,50,73,16,Metson,s,STEAM,STEAM,30,3000,1100,11,10000,75,15,130,Prim.,NC,1039,1039,Succ.,Yes,LW
